Code,Question Name,Question Weight,Answer,Answer Weight,Scoring Type,Metric Domain,Ordinal,All Vendors,Question Description,Branching Logic,Category Name,Internal,Upload Answers,Allows Text For Answers,Tech Vendor,System Vendor,Service Vendor
QSYS:110:401,What is the level of Risk Management Maturity?,5,Basic - An information security and business continuity risk management function(s) exists within the institution.,2,System,Amplified Operational,67,YES,"Risk management is an new discipline that begins as basic, evolving, intermediate, advanced and moves to innovative.",,,NO,NO,NO,NO,NO,NO
"",,,"Evolving - The risk management program incorporates cyber risk identification, measurement, mitigation, monitoring, and reporting. Management reviews and uses the results of audits to improve existing cybersecurity policies, procedures, and controls. Management monitors moderate and high residual risk issues from the cybersecurity risk assessment until items are addressed. Intermediate The cybersecurity function has a clear reporting line that does",4,,,,,
"",,,"Intermediate - The cybersecurity function has a clear reporting line that does not present a conflict of interest. The risk management program specifically addresses cyber risks beyond the boundaries of the technological impacts (e.g., financial, strategic, regulatory, compliance). Benchmarks or target performance metrics have been established for showing improvements or regressions of the security posture over time. Management uses the results of independent audits and reviews to improve cybersecurity. There is a process to analyze and assign potential losses and related expenses, by cost center, associated with cybersecurity incidents.",6,,,,,
"",,,Advanced - Cybersecurity metrics are used to facilitate strategic decision-making and funding in areas of need. Independent risk management sets and monitors cyber-related risk limits for business units. Independent risk management staff escalates to management and the board or an appropriate board committee significant discrepancies from business unit���������s assessments of cyber-related risk. A process is in place to analyze the financial impact cyber incidents have on the institution���������s capital. The cyber risk data aggregation and real-time reporting capabilities support the institution������,8,,,,,
"",,,Innovative - The risk management function identifies and analyzes commonalities in cyber events that occur both at the institution and across other sectors to enable more predictive risk management. A process is in place to analyze the financial impact that a cyber incident at the institution may have across the financial sector.,10,,,,,
