Code,Question Name,Question Weight,Answer,Answer Weight,Scoring Type,Metric Domain,Ordinal,All Vendors,Question Description,Branching Logic,Category Name,Internal,Upload Answers,Allows Text For Answers,Tech Vendor,System Vendor,Service Vendor,Allows Comment To Answers,Use Color Coding
COML:018,Is the board or board committee approved cyber risk appetite statement part of the enterprise-wide risk appetite statement?,4,No,10,Organization,FFIEC CAT Cyber Org Maturity Level,18,NO,,,Cyber Risk Management and Oversight / Governance / Oversight,NO,NO,NO,NO,NO,NO,YES,YES
,,,N/A,5,,,,,,,,,,,,,,,
,,,Yes,0,,,,,,,,,,,,,,,
COML:019,Does management have a formal process to continuously improve cybersecurity oversight?,4,No,10,Organization,FFIEC CAT Cyber Org Maturity Level,19,NO,,,Cyber Risk Management and Oversight / Governance / Oversight,NO,NO,NO,NO,NO,NO,YES,YES
,,,N/A,5,,,,,,,,,,,,,,,
,,,Yes,0,,,,,,,,,,,,,,,
COML:020,Does the budget process for requesting additional cybersecurity staff and tools map current resources and tools to the cybersecurity strategy?,4,No,10,Organization,FFIEC CAT Cyber Org Maturity Level,20,NO,,,Cyber Risk Management and Oversight / Governance / Oversight,NO,NO,NO,NO,NO,NO,YES,YES
,,,N/A,5,,,,,,,,,,,,,,,
,,,Yes,0,,,,,,,,,,,,,,,
COML:021,Do management and the board or an appropriate board committee hold business units accountable for effectively managing all cyber risks associated with their activities?,4,No,10,Organization,FFIEC CAT Cyber Org Maturity Level,21,NO,,,Cyber Risk Management and Oversight / Governance / Oversight,NO,NO,NO,NO,NO,NO,YES,YES
,,,N/A,5,,,,,,,,,,,,,,,
,,,Yes,0,,,,,,,,,,,,,,,
COML:022,Does management identify root cause(s) when cyber attacks result in material loss?,4,No,10,Organization,FFIEC CAT Cyber Org Maturity Level,22,NO,,,Cyber Risk Management and Oversight / Governance / Oversight,NO,NO,NO,NO,NO,NO,YES,YES
,,,N/A,5,,,,,,,,,,,,,,,
,,,Yes,0,,,,,,,,,,,,,,,
COML:023,Does the board or an appropriate board committee ensure that management's actions consider the cyber risks that the institution poses to the financial sector?,4,No,10,Organization,FFIEC CAT Cyber Org Maturity Level,23,NO,,,Cyber Risk Management and Oversight / Governance / Oversight,NO,NO,NO,NO,NO,NO,YES,YES
,,,N/A,5,,,,,,,,,,,,,,,
,,,Yes,0,,,,,,,,,,,,,,,
COML:024,Does the board or an appropriate board committee discuss ways for management to develop cybersecurity improvements that may be adopted sector-wide?,5,No,10,Organization,FFIEC CAT Cyber Org Maturity Level,24,NO,,,Cyber Risk Management and Oversight / Governance / Oversight,NO,NO,NO,NO,NO,NO,YES,YES
,,,N/A,5,,,,,,,,,,,,,,,
,,,Yes,0,,,,,,,,,,,,,,,
