Code,Question Name,Question Weight,Answer,Answer Weight,Scoring Type,Metric Domain,Ordinal,All Vendors,Question Description,Branching Logic,Category Name,Internal,Upload Answers,Allows Text For Answers,Tech Vendor,System Vendor,Service Vendor,Allows Comment To Answers,Use Color Coding
,,,Several OSS that support critical operations,6,,,,,,,,,,,,,,,
,,,Large number of OSS that support critical operations,8,,,,,,,,,,,,,,,
,,,Majority of operations dependent on OSS,10,,,,,,,,,,,,,,,
OIRP:12,"1.12 - How many network devices (e.g., servers, routers, and firewalls; include physical and virtual) are in use?",5,Limited or no network devices (<250),2,Organization,FFIEC CAT Inherent Risk,12,NO,,,Technologies and Connection Types,NO,NO,NO,NO,NO,NO,YES,YES
,,,"Few devices (250-1,500)",4,,,,,,,,,,,,,,,
,,,"Several devices (1,501-25,000)",6,,,,,,,,,,,,,,,
,,,"Significant number of devices (25,001-50,000)",8,,,,,,,,,,,,,,,
,,,"Substantial number of devices (>50,000)",10,,,,,,,,,,,,,,,
OIRP:13,"1.13 - Is there any third-party service provider storing and/or processing information that support critical activities (not have access to internal systems, but the institution relies on their services)?",5,No third parties that support critical activities,2,Organization,FFIEC CAT Inherent Risk,13,NO,,,Technologies and Connection Types,NO,NO,NO,NO,NO,NO,YES,YES
,,,1-25 third parties that support critical activities,4,,,,,,,,,,,,,,,
,,,26-100 third parties that support critical activities,6,,,,,,,,,,,,,,,
,,,101-200 third parties that support critical activities; 1 or more are foreign-based,8,,,,,,,,,,,,,,,
,,,>200 third parties that support critical activities; 1 or more are foreign-based,10,,,,,,,,,,,,,,,
OIRP:14,1.14 - Is there any cloud computing service hosted externally to support critical activities?,5,No cloud providers,2,Organization,FFIEC CAT Inherent Risk,14,NO,,,Technologies and Connection Types,NO,NO,NO,NO,NO,NO,YES,YES
,,,Few cloud providers; private cloud only (1-3),4,,,,,,,,,,,,,,,
,,,Several cloud providers (4-7),6,,,,,,,,,,,,,,,
,,,Significant number of cloud providers (8-10); cloud-provider locations used include international; use of public cloud,8,,,,,,,,,,,,,,,
