Code,Question Name,Question Weight,Answer,Answer Weight,Scoring Type,Metric Domain,Ordinal,All Vendors,Question Description,Branching Logic,Category Name,Internal,Upload Answers,Allows Text For Answers,Tech Vendor,System Vendor,Service Vendor,Allows Comment To Answers,Use Color Coding
"",,,Lawyer,3,,,,,
"",,,CISO,4,,,,,
"",,,DPO/CPO,5,,,,,
CSMAT:13,What level of inherent risk does your organization have?,5,Small,1,Organization,Cybersecurity Maturity,13,NO,As the company grows in size the organization's digital footprint increases the attack surface and the company assumes more inherent risk.,,,NO,NO,NO,NO,NO,NO,NO,YES
"",,,Medium,2,,,,,
"",,,Medium or Large,3,,,,,
"",,,Large,4,,,,,
"",,,Largest,5,,,,,
CSMAT:14,What level of cloud cybersecurity program does your organization have?,5,None,1,Organization,Cybersecurity Maturity,14,NO,"In the beginning most companies rely solely on the cloud service provider for their cloud security. As they realize that the cloud service is not fully responsible, they obtain a limited knowledge of their cloud security requirements which allows them to budget to hire staff to ensure the controls they own are in place.  Later they will mature to  having a full cloud service cybersecurity program in place.",,,NO,NO,NO,NO,NO,NO,NO,YES
"",,,Reliance on the CSP,2,,,,,
"",,,Limited knowledge of Cloud Security,3,,,,,
"",,,Some staff for limited cloud security,4,,,,,
"",,,Cloud Cybersecurity Program in place,5,,,,,
CSMAT:15,How does your company identify the amount of cyber insurance you need?,5,None,1,Organization,Cybersecurity Maturity,15,NO,"Many companies start with no cybersecurity insurance, however most of their third parties may compel them to consider getting cyber insurance in order to stay on their vendor list. Some companies will ask their attorney to weigh in on the decision, others will go to the cyber insurance broker who will use comparable companies to suggest the proper limit, and lastly the more mature companies will do a cyber limits adequacy study.",,,NO,NO,NO,NO,NO,NO,NO,YES
"",,,Whatever the client tells us,2,,,,,
"",,,Suggested by attorney,3,,,,,
"",,,Suggested by broker,4,,,,,
"",,,Cyber limits adequacy study,5,,,,,
CSMAT:16,What level of digital asset management program does your organization have?,5,None,1,Organization,Cybersecurity Maturity,16,NO,"Digital asset management programs typically start out with an excel based approach. Once companies have over 10 systems or vendors this becomes an unmanageable effort.  This is when they switch to a system based approach. As they mature, they understand that this approach needs to be integrated to provide a continuous update.  Later they understand that it needs to be integrated with the cyber risk management system.",,,NO,NO,NO,NO,NO,NO,NO,YES
"",,,Excel,2,,,,,
"",,,System based,3,,,,,
"",,,Integrated system based,4,,,,,
"",,,Integrated Cyber Risk Management system based,5,,,,,
CSMAT:17,What level of compliance program does your organization have?,5,None,1,Organization,Cybersecurity Maturity,17,NO,Companies usually start with a check box compliance effort which is the minimal amount they need to do. They move into a more advanced level of compliance program where they're understanding that the checkbox approach does not work. Robust programs are integrating in their compliance with their cybersecurity program. Zealous efforts are where compliance is integrated in across cybersecurity and privacy and ending all the siloed efforts of their organization.,,,NO,NO,NO,NO,NO,NO,NO,YES
"",,,Minimal - check box mentality,2,,,,,
"",,,Medium - moving out of check box mentality,3,,,,,
"",,,Robust - integrating with cybersecurity,4,,,,,
"",,,Zealous - integrating with cybersecurity & privacy teams,5,,,,,
CSMAT:18,What level of user accountability does your organization have?,5,None,1,Organization,Cybersecurity Maturity,18,NO,Companies typically have cyber security or privacy policies in place and then move into a organizational Phishing exercise with their users. There's a mature they add organizational training around cyber security regulation and risk and lastly they start to do regular tabletop exercises.,,,NO,NO,NO,NO,NO,NO,NO,YES
"",,,Cyber Policies Only,2,,,,,
"",,,Cyber Polices & Training,3,,,,,
"",,,"Cyber Policies, Phishing  & Org Training",4,,,,,
"",,,"Cyber Policies, Phishing, Org Training & Table-Tops",5,,,,,
Background Risk: 1,Are background checks done on employees and contractors?,5,No,2,Organization,Cybersecurity Maturity,19,YES,Provide the details of how your company performs background checks on all employees and contractors.,,,NO,NO,NO,NO,NO,NO,NO,YES
"",,,Yes  - Criminal Only,4,,,,,
"",,,Yes - Credit Check Only,4,,,,,
"",,,Yes - Criminal and Drug Test,4,,,,,
"",,,Yes - Criminal and Credit Check,10,,,,,
"",,,Not answered,10,,,,,
CSMAT:20,What level of cybersecurity product posture does your organization have?,5,None,1,Organization,Cybersecurity Maturity,20,NO,"Initially, companies tend to have little customization in their cyber security products. They then mature into a level of customization that allows them to have more specificity to their requirements. Evolving into highly customized and then innovative cybersecurity products.",,,NO,NO,NO,NO,NO,NO,NO,YES
"",,,Little Customization,2,,,,,
"",,,Some Customization,3,,,,,
"",,,Highly Customized,4,,,,,
"",,,Innovative,5,,,,,
