Function Code,Function Name,Function Description,Control Test Code,Control Test Name,Control Test Description,Guideline Code,Guideline Name,Guideline Description
"",,,,,,PR.AT-5,PR.AT-5,"Physical and information security personnel understand roles & responsibilities "
"",,,PR.DS,Data Security (PR.DS),"Information and records (data) are managed consistent with the organization’s risk strategy to protect the confidentiality, integrity, and availability of information.",PR.DS-1,PR.DS-1,Data-at-rest is protected
"",,,,,,PR.DS-2,PR.DS-2,Data-in-transit is protected
"",,,,,,PR.DS-3,PR.DS-3,"Assets are formally managed throughout removal, transfers, and disposition"
"",,,,,,PR.DS-4,PR.DS-4,Adequate capacity to ensure availability is maintained
"",,,,,,PR.DS-5,PR.DS-5,Protections against data leaks are implemented
"",,,,,,PR.DS-6,PR.DS-6,"Integrity checking mechanisms are used to verify software, firmware, and information integrity"
"",,,,,,PR.DS-7,PR.DS-7,The development and testing environment(s) are separate from the production environment
"",,,PR.IP,Information Protection Processes and Procedures (PR.IP),"Security policies (that address purpose, scope, roles, responsibilities, management commitment, and coordination among organizational entities), processes, and procedures are maintained and used to manage protection of information systems and assets.",PR.IP-1,PR.IP-1,A baseline configuration of information technology/industrial control systems is created and maintained
"",,,,,,PR.IP-10,PR.IP-10,Response and recovery plans are tested
"",,,,,,PR.IP-11,PR.IP-11,"Cybersecurity is included in human resources practices (e.g., deprovisioning, personnel screening)"
"",,,,,,PR.IP-12,PR.IP-12,A vulnerability management plan is developed and implemented
"",,,,,,PR.IP-2,PR.IP-2,A System Development Life Cycle to manage systems is implemented
"",,,,,,PR.IP-3,PR.IP-3,Configuration change control processes are in place
"",,,,,,PR.IP-4,PR.IP-4,"Backups of information are conducted, maintained, and tested periodically"
"",,,,,,PR.IP-5,PR.IP-5,Policy and regulations regarding the physical operating environment for organizational assets are met
"",,,,,,PR.IP-6,PR.IP-6,Data is destroyed according to policy
"",,,,,,PR.IP-7,PR.IP-7,Protection processes are continuously improved
"",,,,,,PR.IP-8,PR.IP-8,Effectiveness of protection technologies is shared with appropriate parties
"",,,,,,PR.IP-9,PR.IP-9,Response plans (Incident Response and Business Continuity) and recovery plans (Incident Recovery and Disaster Recovery) are in place and managed
"",,,PR.MA,Maintenance (PR.MA),Maintenance and repairs of industrial control and information system components is performed consistent with policies and procedures.,PR.MA-1,PR.MA-1,"Maintenance and repair of organizational assets is performed and logged in a timely manner, with approved and controlled tools"
"",,,,,,PR.MA-2,PR.MA-2,"Remote maintenance of organizational assets is approved, logged, and performed in a manner that prevents unauthorized access"
"",,,PR.PT,Protective Technology (PR.PT),"Technical security solutions are managed to ensure the security and resilience of systems and assets, consistent with related policies, procedures, and agreements.",PR.PT-1,PR.PT-1,"Audit/log records are determined, documented, implemented, and reviewed in accordance with policy"
"",,,,,,PR.PT-2,PR.PT-2,"Audit/log records are determined, documented, implemented, and reviewed in accordance with policy"
"",,,,,,PR.PT-3,PR.PT-3,"Access to systems and assets is controlled, incorporating the principle of least functionality"
"",,,,,,PR.PT-4,PR.PT-4,Communications and control networks are protected
PR,Protect,"800-64 Rev. 2. Security Considerations in the System Development Life Cycle
800-160. Systems Security Engineering: Considerations for a Multidisciplinary Approach in the Engineering of Trustworthy Secure Systems
Develop and implement the appropriate safeguards to ensure delivery of critical infrastructure services.",PR.AC,Access Control,"Access to assets and associated facilities is limited to authorized users, processes, or devices, and to authorized activities and transactions.",PR.AC-1,PR.AC-1,Identities and credentials are managed for authorized devices and users
"",,,PR.AT,Awareness and Training,"The organization’s personnel and partners are provided cybersecurity awareness education and are adequately trained to perform their information security-related duties and responsibilities consistent with related policies, procedures, and agreements.",PR.AT-1,PR.AT-1,All users are informed and trained
"",,,PR.DS,Data Security,"Information and records (data) are managed consistent with the organization’s risk strategy to protect the confidentiality, integrity, and availability of information.",PR.DS-1,PR.DS-1,Data-at-rest is protected
"",,,PR.IP,Information Protection Processes and Procedures,"Security policies (that address purpose, scope, roles, responsibilities, management commitment, and coordination among organizational entities), processes, and procedures are maintained and used to manage protection of information systems and assets.",PR.IP-1,PR.IP-1,A baseline configuration of information technology/industrial control systems is created and maintained
"",,,PR.MA,Maintenance,Maintenance and repairs of industrial control and information system components is performed consistent with policies and procedures.,PR.MA-1,PR.MA-1,"Maintenance and repair of organizational assets is performed and logged in a timely manner, with approved and controlled tools"
"",,,PR.PT,Protective Technology,"Technical security solutions are managed to ensure the security and resilience of systems and assets, consistent with related policies, procedures, and agreements.",PR.PT-1,PR.PT-1,"Audit/log records are determined, documented, implemented, and reviewed in accordance with policy"
RC,Recover,800-184. Guide for Cybersecurity Event Recovery,RC.CO,Communications (RC.CO),"Restoration activities are coordinated with internal and external parties, such as coordinating centers, Internet Service Providers, owners of attacking systems, victims, other CSIRTs, and vendors.",RC.CO-1,RC.CO-1,Public relations are managed
"",,,,,,RC.CO-2,RC.CO-2,Reputation after an event is repaired
"",,,,,,RC.CO-3,RC.CO-3,Recovery activities are communicated to internal stakeholders and executive and management teams
"",,,RC.CO,Communications,"Restoration activities are coordinated with internal and external parties, such as coordinating centers, Internet Service Providers, owners of attacking systems, victims, other CSIRTs, and vendors.",RC.CO-1,RC.CO-1,Public relations are managed
"",,,RC.IM,Improvements (RC.IM),Recovery planning and processes are improved by incorporating lessons learned into future activities.,RC.IM-1,RC.IM-1,Recovery plans incorporate lessons learned
"",,,,,,RC.IM-2,RC.IM-2,Recovery strategies are updated
"",,,RC.IM,Improvements,Recovery planning and processes are improved by incorporating lessons learned into future activities.,RC.IM-1,RC.IM-1,Recovery plans incorporate lessons learned
"",,,RC.RP,Recovery Planning (RC.RP),Recovery processes and procedures are executed and maintained to ensure timely restoration of systems or assets affected by cybersecurity events.,RC.RP-1,RC.RP-1,Recovery plan is executed during or after an event
"",,,RC.RP,Recovery Planning,Recovery processes and procedures are executed and maintained to ensure timely restoration of systems or assets affected by cybersecurity events.,RC.RP-1,RC.RP-1,Recovery plan is executed during or after an event
RS,Respond,800-34 Rev. 1. Contingency Planning Guide for Federal Information Systems,RS.AN,Analysis (RS.AN),Analysis is conducted to ensure adequate response and support recovery activities.,RS.AN-1,RS.AN-1,Notifications from detection systems are investigated 
"",,,,,,RS.AN-2,RS.AN-2,The impact of the incident is understood
"",,,,,,RS.AN-3,RS.AN-3,Forensics are performed
"",,,,,,RS.AN-4,RS.AN-4,Incidents are categorized consistent with response plans
"",,,RS.AN,Analysis,Analysis is conducted to ensure adequate response and support recovery activities.,RS.AN-1,RS.AN-1,Notifications from detection systems are investigated 
"",,,RS.CO,Communications (RS.CO),"Response activities are coordinated with internal and external stakeholders, as appropriate, to include external support from law enforcement agencies.",RS.CO-1,RS.CO-1,Personnel know their roles and order of operations when a response is needed
"",,,,,,RS.CO-2,RS.CO-2,Events are reported consistent with established criteria
"",,,,,,RS.CO-3,RS.CO-3,Information is shared consistent with response plans
"",,,,,,RS.CO-4,RS.CO-4,Coordination with stakeholders occurs consistent with response plans
"",,,,,,RS.CO-5,RS.CO-5,"Voluntary information sharing occurs with external stakeholders to achieve broader cybersecurity situational awareness "
"",,,RS.CO,Communications,"Response activities are coordinated with internal and external stakeholders, as appropriate, to include external support from law enforcement agencies.",RS.CO-1,RS.CO-1,Personnel know their roles and order of operations when a response is needed
"",,,RS.IM,Improvements (RS.IM),Organizational response activities are improved by incorporating lessons learned from current and previous detection/response activities.,RS.IM-1,RS.IM-1,Response plans incorporate lessons learned
"",,,,,,RS.IM-2,RS.IM-2,Response strategies are updated
"",,,RS.IM,Improvements,Organizational response activities are improved by incorporating lessons learned from current and previous detection/response activities.,RS.IM-1,RS.IM-1,Response plans incorporate lessons learned
"",,,RS.MI,Mitigation (RS.MI),"Activities are performed to prevent expansion of an event, mitigate its effects, and eradicate the incident.",RS.MI-1,RS.MI-1,Incidents are contained
"",,,,,,RS.MI-2:,RS.MI-2:,Incidents are mitigated
"",,,,,,RS.MI-3,RS.MI-3,Newly identified vulnerabilities are mitigated or documented as accepted risks
"",,,RS.MI,Mitigation,"Activities are performed to prevent expansion of an event, mitigate its effects, and eradicate the incident.",RS.MI-1,RS.MI-1,Incidents are contained
"",,,RS.RP,Response Planning (RS.RP),"Response processes and procedures are executed and maintained, to ensure timely response to detected cybersecurity events.",RS.RP-1,RS.RP-1,Response plan is executed during or after an event
"",,,RS.RP,Response Planning,"Response processes and procedures are executed and maintained, to ensure timely response to detected cybersecurity events.",RS.RP-1,RS.RP-1,Response plan is executed during or after an event
