GDPR Id,Chapter #,Chapter Name,Section #,Section Name,Article #,Article Paragraph,Article Name,Article Description,GDPR Best Practice,Mandatory,System Question,Organization Question
135,4,Controller and Processor,1,General Obligations,29,,Processing under the authority of the controller or processor,Is there a mechanism in place to ensure processors only process personal info in accordance with instructions from the controller and applicable laws?,,No,No,Yes
136,4,Controller and Processor,1,General Obligations,30,,Records of processing activities,"Is there a mechanism in place for controllers to maintain documentation concerning privacy e.g. the purposes for which personal info is gathered and processed, ‘categories' of data subjects and personal data etc.?",,No,No,Yes
137,4,Controller and Processor,1,General Obligations,31,,Cooperation with the supervisory authority,Is there a policy in place to ensure that organizations cooperate with the authorities e.g. privacy or data protection ombudsmen?,,No,No,Yes
138,4,Controller and Processor,2,Security of personal data,32,,Security of processing,"Are there mechanism in place to ensure that organizations implement, operate and maintain appropriate technical and organizational security measures for personal info, addressing the information risks?",,No,No,Yes
139,4,Controller and Processor,2,Security of personal data,33,,Notification of a personal data breach to the supervisory authority,Is there a mechanism in place to notify the authorities promptly (within 3 days of becoming aware of them unless delays are justified) for privacy breaches that have exposed or harmed personal information?,,No,No,Yes
140,4,Controller and Processor,2,Security of personal data,34,,Communication of a personal data breach to the data subject,Is there a mechanism in place to notify the authorities promptly for privacy breaches that have exposed or harmed personal info and hence are likely to harm their interests ‘without undue delay'?,,No,No,Yes
141,4,Controller and Processor,3,Data protection impact assessment and prior consultation,35,,Data protection impact assessment,"Is there a mechanism in place to access privacy risks including potential impacts, particularly where new technologies/systems/arrangements are being considered, or otherwise where risks may be? Is there a mechanism to rank  ‘Significantly risky situations'?",,No,Yes,Yes
142,4,Controller and Processor,3,Data protection impact assessment and prior consultation,36,,Prior Consultation,Is there a mechanism to notify authorities for privacy risks assessed as “high”?                                                                                              ,,No,Yes,Yes
143,4,Controller and Processor,4,Data protection officer,37,,Designation of the data protection officer,Is there a data protection officer position?,,No,No,Yes
144,4,Controller and Processor,4,Data protection officer,38,,Position of the data protection officer,Is the DPO supported by the organization and engaged in privacy matters?,,No,No,Yes
145,4,Controller and Processor,4,Data protection officer,39,,Tasks of the data protection officer,"Does the DPO offer advice on privacy matters, monitor compliance, liaise with the authorities, act as a contact point, address privacy risks etc.?",,No,No,Yes
146,4,Controller and Processor,5,Codes of conduct and certification,40,,Codes of Conduct,"Is there a mechanism to align the GDPR assessment process with other codes of conduct, regulations and guidelines?",,No,No,Yes
147,4,Controller and Processor,5,Codes of conduct and certification,41,,Monitoring of approved codes of conduct,"Is there a mechanism to demonstrate the GDPR assessment process with other codes of conduct, regulations and guidelines?",,No,Yes,No
148,4,Controller and Processor,5,Codes of conduct and certification,42,,Certification,"N/A. Similar schemes already exist: GDPR gives them some official recognition, on top of the commercial advantages they already exploit. ",,No,No,No
149,4,Controller and Processor,5,Codes of conduct and certification,43,,Certification Bodies,"N/A. This should improve the credibility and meaning of privacy seals and marks, but may also increase the costs.  Since they are voluntary, whether or not to be certified, and which schemes to join, are commercial/business matters for management.",,No,No,No
150,5,Transfer of personal data to third countries of international organizations,,,44,,General Principle for transfer,Is there a mechanism for international transfers and processing of personal info to be complaint with GDPR?,,No,No,Yes
151,5,Transfer of personal data to third countries of international organizations,,,45,,Transfers of the basis of an adequacy decision,"Is there a mechanism in place to identify which systems transfer GDPR data and to which locations that are identified as adequate?  Storm can list identified countries with adequate privacy arrangements and systems that use them. Most formalities are to be handled by the Commission. Compliance involves avoiding transfers to other countries, monitoring the official lists for changes, and ensuring that suitable contracts/agreements and other privacy controls are in place as with other third party data transfers (see Article 28 especially).",,Yes,Yes,No
152,5,Transfer of personal data to third countries of international organizations,,,46,,Transfers subject to appropriate safeguards,"Is there a mechanism in place to identify which systems transfer GDPR data and to which locations that are identified as not adequate?    Is there a mechanism in place for the organization to verify the implementation and adequacy of privacy controls before transferring personal data to such countries, and subsequently e.g. suitable contractual clauses and compliance activities?",,Yes,Yes,No
153,5,Transfer of personal data to third countries of international organizations,,,47,,Binding corporate rules,Is there a mechanism in place for national authorities to approve legally-binding privacy rules permitting transfers to non-approved countries?,,No,No,Yes
154,5,Transfer of personal data to third countries of international organizations,,,48,,Transfers or disclosures not authorised by union law,N/A. Such situations would normally be handled by legal and regulatory compliance specialists - but may start out as incidents.,,No,No,No
155,5,Transfer of personal data to third countries of international organizations,,,49,,Derogations for specific situations,Is there a mechanism in place to measure the risk of data transfers that are to non-approved countries?,,No,Yes,No
156,5,Transfer of personal data to third countries of international organizations,,,50,,International cooperation for the protection of personal data,Is there a mechanism to communicate with international authorities on privacy issues?,,No,No,Yes
157,6,Independent Supervisory Authorities,1,Independent status,51,,Supervisory Authority,Does not apply. Relates to national bodies.,,No,No,No
158,6,Independent Supervisory Authorities,1,Independent status,52,,Independence,Does not apply. Relates to national bodies.,,No,No,No
159,6,Independent Supervisory Authorities,1,Independent status,54,,General conditions for the members of the supervisory authority,Does not apply. Relates to national bodies.,,No,No,No
160,6,Independent Supervisory Authorities,1,Independent status,54,,Rules on the establishment of the supervisory Authority,Does not apply. Relates to national bodies.,,No,No,No
161,6,Independent Supervisory Authorities,2,"Competence, Tasks, and Powers",55,,Competence,Does not apply. Relates to national bodies.,,No,No,No
162,6,Independent Supervisory Authorities,2,"Competence, Tasks, and Powers",56,,Competence of the lead supervisory authority,Does not apply. Relates to national bodies.,,No,No,No
163,6,Independent Supervisory Authorities,2,"Competence, Tasks, and Powers",57,,Tasks,Does not apply. Relates to national bodies.,,No,No,No
164,6,Independent Supervisory Authorities,2,"Competence, Tasks, and Powers",58,,Powers,Does not apply. Relates to national bodies.,,No,No,No
165,6,Independent Supervisory Authorities,2,"Competence, Tasks, and Powers",59,,Activity Reports,Does not apply. Relates to national bodies.,,No,No,No
166,7,Co-operation and Consistency,1,Co-operation,60,,Cooperation between the lead supervisory authority and the other supervisory authorities concerned,Does not apply. Relates to country supervisory authorities.,,No,No,No
167,7,Co-operation and Consistency,1,Co-operation,61,,Mutual Assistance,Does not apply. Relates to country supervisory authorities.,,No,No,No
168,7,Co-operation and Consistency,1,Co-operation,62,,Joint operations of supervisory authorities,Does not apply. Relates to country supervisory authorities.,,No,No,No
169,7,Co-operation and Consistency,2,Consistency,63,,Consistency mechanism,Does not apply. Relates to country supervisory authorities.,,No,No,No
170,7,Co-operation and Consistency,2,Consistency,64,,Opinion of the Board,Does not apply. Relates to country supervisory authorities.,,No,No,No
171,7,Co-operation and Consistency,2,Consistency,65,,Dispute resolution by the Board,Does not apply. Relates to country supervisory authorities.,,No,No,No
172,7,Co-operation and Consistency,2,Consistency,66,,Urgency Procedure,Does not apply. Relates to country supervisory authorities.,,No,No,No
173,7,Co-operation and Consistency,2,Consistency,67,,Exchange of information,Does not apply. Relates to country supervisory authorities.,,No,No,No
174,7,Co-operation and Consistency,3,European Data Protection Board,68,,European Data Protection Board,Does not apply. Relates to country supervisory authorities.,,No,No,No
175,7,Co-operation and Consistency,3,European Data Protection Board,69,,Independence,Does not apply. Relates to country supervisory authorities.,,No,No,No
176,7,Co-operation and Consistency,3,European Data Protection Board,70,,Tasks of the Board,Does not apply. Relates to country supervisory authorities.,,No,No,No
177,7,Co-operation and Consistency,3,European Data Protection Board,71,,Reports,Does not apply. Relates to country supervisory authorities.,,No,No,No
178,7,Co-operation and Consistency,3,European Data Protection Board,72,,Procedure,Does not apply. Relates to country supervisory authorities.,,No,No,No
179,7,Co-operation and Consistency,3,European Data Protection Board,73,,Chair,Does not apply. Relates to country supervisory authorities.,,No,No,No
180,7,Co-operation and Consistency,3,European Data Protection Board,76,,Tasks of the Chair,Does not apply. Relates to country supervisory authorities.,,No,No,No
181,7,Co-operation and Consistency,3,European Data Protection Board,75,,Secretariat,Does not apply. Relates to country supervisory authorities.,,No,No,No
182,7,Co-operation and Consistency,3,European Data Protection Board,76,,Confidentiality,Does not apply. Relates to country supervisory authorities.,,No,No,No
183,8,"Remedies, Liability, and Sanctions",,,77,,Right to lodge a complaint with a supervisory authority,Is there a mechanism for supervisory authorities to deal with privacy complaints?,,No,No,Yes
184,8,"Remedies, Liability, and Sanctions",,,78,,Right to an effective judicial remedy against a supervisory authority,Is there a mechanism for supervisory authorities to deal with privacy complaints?,,No,No,Yes
185,8,"Remedies, Liability, and Sanctions",,,79,,Right to an effective judicial remedy against a controller or processor,Is there a mechanism for supervisory authorities to deal with privacy complaints?,,No,No,Yes
186,8,"Remedies, Liability, and Sanctions",,,80,,Representation of data subjects,Is there a mechanism for supervisory authorities to deal with privacy complaints?,,No,No,Yes
187,8,"Remedies, Liability, and Sanctions",,,81,,Suspension of proceedings,Is there a mechanism for supervisory authorities to deal with privacy complaints?,,Yes,No,Yes
188,8,"Remedies, Liability, and Sanctions",,,82,,Right to compensation and liability,Is there a mechanism for individual's damaged by infringements of GDPR to apply for compensation?,,Yes,No,Yes
189,8,"Remedies, Liability, and Sanctions",,,83,,General conditions for imposing administrative fines,Is there a mechanism to pay for administrative GDPR fines?,,Yes,No,Yes
190,8,"Remedies, Liability, and Sanctions",,,84,,Penalties,Is there a mechanism to understand other penalties that may be imposed? ,,Yes,No,Yes
191,9,Provisions relating to specific data processing situations,,,85,,Processing and freedom of expression and information,"Is there a mechanism to balance privacy/data protection rights against freedom of expression, journalism, academic research etc. through suitable laws?",,Yes,No,Yes
192,9,Provisions relating to specific data processing situations,,,86,,Processing and public access to offical documents,Is there a mechanism to disclose personal data if the documents are formally required to be disclosed under ‘freedom of information'-type laws?,,Yes,No,Yes
193,9,Provisions relating to specific data processing situations,,,87,,Processing of the national identification number,Is there a mechanism in place to provide further privacy controls for national ID numbers?,,No,No,Yes
194,9,Provisions relating to specific data processing situations,,,88,,Processing in the context of employment,Is there a mechanism to show how employment laws intersect with GDPR and privacy?,,No,No,Yes
195,9,Provisions relating to specific data processing situations,,,89,,"Safeguards and derogations relating to processing for archiving purposes in the public interest, scientific or historical research purposes or statistical purposes",Is there a mechanism in place for pseudonymization and data minimization where personal data is to be archived e.g. for research and statistical purposes?,,No,No,Yes
196,9,Provisions relating to specific data processing situations,,,90,,Obligations of secrecy,Is there a mechanism in place to allow for additional nation laws concerning employment and secrecy laws?,,No,No,Yes
197,9,Provisions relating to specific data processing situations,,,91,,Existing data protection rules of churches and religious associations,For churches and religious associations is there a mechanism for pre-existing privacy rules to demonstrate alignment with GDPR?,,No,No,No
198,10,Delegated Acts and Implementing Acts,,,92,,Exercise of the delegation,"N/A. Not relevant to an individual organization's privacy arrangements, except in as much as they need to comply with applicable laws and regulations.",,No,No,No
199,10,Delegated Acts and Implementing Acts,,,93,,Committee procedure,"N/A. Not relevant to an individual organization's privacy arrangements, except in as much as they need to comply with applicable laws and regulations.",,No,No,No
200,11,Final provisions,,,94,,Repeal of Directive 95/46/EC,"N/A. Not relevant to an individual organization's privacy arrangements, except in as much as they need to comply with applicable laws and regulations.",,No,No,No
201,11,Final provisions,,,95,,Relationship with Directive 2002/58/EC,"N/A. Not relevant to an individual organization's privacy arrangements, except in as much as they need to comply with applicable laws and regulations.",,No,No,No
202,11,Final provisions,,,96,,Relationship with previously concluded Agreements,"N/A. Not relevant to an individual organization's privacy arrangements, except in as much as they need to comply with applicable laws and regulations.",,No,No,No
203,11,Final provisions,,,97,,Commission Reports,"N/A. Not relevant to an individual organization's privacy arrangements, except in as much as they need to comply with applicable laws and regulations.",,No,No,No
204,11,Final provisions,,,98,,Review of other union legal acts on data protection,"N/A. Not relevant to an individual organization's privacy arrangements, except in as much as they need to comply with applicable laws and regulations.",,No,No,No
205,11,Final provisions,,,99,,Entry intro force and application,"N/A. Not relevant to an individual organization's privacy arrangements, except in as much as they need to comply with applicable laws and regulations.",,No,No,No
