Permission Group,Permission Title,Permissions/Roles,Description,Url,CYSURANCE
Risk Model Scoring Question,Import from CSV,import_qualitative_question,,,
Risk Model Scoring Question,Export Answers CSV,export_qualitative_question_answers,,,
Risk Model Scoring Question,Import Answers from CSV,import_qualitative_question_answers,,,
Risk Model Scoring Question,Risk Answers Read,risk_answer_read,,,
Risk Model Scoring Question,Risk Answers Update,risk_answer_update,,,
Risk Metric,Read,risk_metric_read,,,
Risk Metric,Create,risk_metric_create,,,
Risk Metric,Update,risk_metric_update,,,
Risk Metric,Delete,risk_metric_delete,,,
Associate Model,Read,associate_model_read,,,
Associate Model,Create,associate_model_create,,,
Associate Model,Update,associate_model_update,,,
Associate Model,Delete,associate_model_delete,,,
Security Framework,Read,assessment_type_read,,,Y
Security Framework,Create,assessment_type_create,,,
Security Framework,Update,assessment_type_update,,,
Security Framework,Delete,assessment_type_delete,,,
Security Framework,Export CSV,import_assessment_framework,,,
Security Framework,Import from CSV,export_assessment_framework,,,
Security Control,Read,security_requirement_read,,,Y
Security Control,Create,security_requirement_create,,,
Security Control,Update,security_requirement_update,,,
Security Control,Delete,security_requirement_delete,,,
Security Control,Export CSV,import_security_requirements,,,
Security Control,Import from CSV,export_security_requirements,,,
Assessment,Read,assessment_read,,,Y
Assessment,Create,assessment_create,,,
Assessment,Update,assessment_update,,,
Assessment,Delete,assessment_delete,,,
Organization Control Test Results,Read,control_test_result_read,,,Y
Organization Control Test Results,Update,control_test_result_update,,,Y
Organization Control Test Results,Download,organization_control_test_result_download,,,
System Control Test Results,Read,system_control_test_result_read,,,Y
System Control Test Results,Update,system_control_test_result_update,,,Y
System Control Test Results,Drilldown,system_control_test_result_drilldown,,,Y
System Control Test Results,Download,system_control_test_result_download,,,
Assessment Finding,Read,assessment_finding_read,,,Y
Assessment Finding,Create,assessment_finding_create,,,
Assessment Finding,Update,assessment_finding_update,,,
Assessment Finding,Delete,assessment_finding_delete,,,
Vulnerability,Read,vulnerability_read,,,
Vulnerability,Create,vulnerability_create,,,
Vulnerability,Update,vulnerability_update,,,
Vulnerability,Delete,vulnerability_delete,,,
Tasks,Read,task_read,,,Y
Tasks,Create,task_create,,,
Tasks,Update,task_update,,,
Tasks,Delete,task_delete,,,
Tasks,Read,task_category_read,,,
Tasks,Create,task_category_create,,,
Tasks,Update,task_category_update,,,
Tasks,Delete,task_category_delete,,,
Vendor Inventory,Read,vendor_read,,,Y
Vendor Inventory,Create,vendor_create,,,Y
Vendor Inventory,Update,vendor_update,,,Y
Vendor Inventory,Delete,vendor_delete,,,Y
Vendor Inventory,Scoring Questions,vendor_scoring_question,,,Y
Vendor Inventory,Scoring Questions Level 2,vendor_internal_question,,,Y
Vendor Inventory,Export CSV,export_vendor,,,
Vendor Inventory,Import from CSV,import_vendor,,,
Cloud Scoring,Read,cloud_scoring_read,,,Y
Cloud Scoring,Scoring Question,cloud_scoring_question,,,Y
Cloud Scoring,Scoring Questions Level 2,cloud_internal_question,,,Y
Associate System,Read,associate_system_read,,,Y
Associate System,Update,associate_system_update,,,
GDPR Organization Compliance,Read,gdpr_organization_compliance_read,,,
GDPR Organization Compliance,Update,gdpr_organization_compliance_update,,,
GDPR Organization Compliance,Scoring Questions,gdpr_organization_compliance_scoring_question,,,
GDPR System Compliance,Read,gdpr_system_compliance_read,,,
GDPR System Compliance,Article Read,gdpr_system_article_compliance_read,,,
GDPR System Compliance,Article Update,gdpr_system_article_compliance_update,,,
GDPR System Compliance,Articles Export CSV,export_gdpr_article,,,
GDPR System Compliance,Articles Import from CSV,import_gdpr_article,,,
GDPR System Compliance,Scoring Questions,gdpr_system_compliance_scoring_question,,,
GDPR Evidence Document,Read,gdpr_evidence_document_read,,,
GDPR Evidence Document,Update,gdpr_evidence_document_update,,,
GDPR Evidence Document,Import from CSV,import_gdpr_evidence_articles,,,
Privacy Impact Assessment,Read,privacy_impact_assessment_read,,,
Security Tools,Read,security_tool_read,,,
Security Tools,Create,security_tool_create,,,
Security Tools,Update,security_tool_update,,,
Security Tools,Delete,security_tool_delete,,,
Fixed Operational Costs,Read,operational_cost_read,,,
Fixed Operational Costs,Create,operational_cost_create,,,
Fixed Operational Costs,Update,operational_cost_update,,,
Fixed Operational Costs,Delete,operational_cost_delete,,,
Fixed Capital Costs,Read,capital_cost_read,,,
Fixed Capital Costs,Create,capital_cost_create,,,
Fixed Capital Costs,Update,capital_cost_update,,,
Fixed Capital Costs,Delete,capital_cost_delete,,,
Variable Cost,Read,variable_cost_read,,,
Variable Cost,Create,variable_cost_create,,,
Variable Cost,Update,variable_cost_update,,,
Variable Cost,Delete,variable_cost_delete,,,
System Risk Reduction,Read,system_risk_reduction_read,,,
System Risk Reduction,Update,system_risk_reduction_update,,,
User Settings,Read,user_settings_read,,,
User Settings,Update,user_settings_update,,,
Audit Log,Read,audit_log_read,,,
Audit Log,Details,audit_log_details,,,
External Analytics,Read,external_analytics_read,,,
External Analytics,Create,external_analytics_create,,,
External Analytics,Update,external_analytics_update,,,
External Analytics,Delete,external_analytics_delete,,,
Dashboards / Set Up Dashboard,My Assignment,dashboard_my_assignments,,,Y
Dashboards / Set Up Dashboard,Cyber Risk Scoring Status,dashboard_question_status,,,
Dashboards / Set Up Dashboard,Vendor Cyber Risk Scoring Status,dashboard_vendor_question_status,,,
Dashboards / Set Up Dashboard,Set Up Assignment Status,dashboard_assignment_status,,,
Dashboards / Executive Dashboard,Vendor,dashboard_vendor,,,Y
Dashboards / Executive Dashboard,Vendors and Systems,dashboard_vendor_and_systems,,,
Dashboards / Executive Dashboard,Cyber Insurance,dashboard_organization,,,
Dashboards / Executive Dashboard,M & A Dashboard,dashboard_m_and_a,,,
Dashboards / Executive Dashboard,Uninsurable Exposures,dashboard_uninsurable_exposures,,,
Dashboards / Vendor Cyber Risk Manager,Vendor Types,dashboard_vendor_status,,,Y
Dashboards / Vendor Cyber Risk Manager,Assessments,dashboard_vendor_self_assessment,,,Y
Dashboards / Vendor Cyber Risk Manager,Vendor Privacy Risk,dashboard_privacy,,,
Dashboards / Vendor Cyber Risk Manager,ETL Systems Exposure,dashboard_etl_systems_exposures,,,
Dashboards / CISO,Digital Asses Dashboard,dashboard_ciso_digital_asset,,,
Dashboards / CISO,Residual Cyber Risk,dashboard_residual_cyber_risk,,,
Dashboards / CISO,Cloud Cyber Risk Scores,dashboard_cloud,,,
Dashboards / CISO,IoT Exposures,dashboard_iot_exposures,,,
Dashboards / CISO,Crown Jewel Asset,dashboard_crown_jewel_asset,,,
Dashboards / CISO,Cybersecurity Tool ROI,dashboard_cybersecurity_tool_roi,,,
Dashboards / CISO,Budgeting,dashboard_budgeting,,,
Dashboards / CISO,Task Status,dashboard_task,,,
Dashboards / CISO,Assessments,dashboard_assessment,,,
Dashboards / CISO,Assessment Finding,dashboard_assessment_findings,,,
Dashboards / CISO,Resource Utilization,dashboard_resources,,,
Dashboards / DPO,PHI Data,dashboard_phi_data,,,
Dashboards / DPO,System Privacy Risk,dashboard_privacy_risk,,,
Dashboards / Audit Dashboard,Assessment Audit,dashboard_audit_assessment_audit,,,
