Constant,Scope,Value,Default Value,Language
VALIDATION$SYSTEM_STATUS_REQUIRED,UI,Status field is required,Status field is required,eng
VALIDATION$SYSTEM_TYPE_REQUIRED,UI,System Type field is required,System Type field is required,eng
IMPORT_AND_EXPORT$PROCESSES,UI,Processes import/export,Processes import/export
IMPORT_AND_EXPORT$TECHNOLOGIES,UI,Technologies import/export,Technologies import/export
IMPORT_AND_EXPORT$USERS,UI,Users import/export,Users import/export
VENDORS$PARENT,UI,Parent Organization,Parent Organization
VALIDATION$BUSINESS_UNIT$DELETE$HAS_CHILDS,SERVER,Business Unit can't be deleted because it's a parent for other Business Units,Business Unit can't be deleted because it's a parent for other Business Units
PROCESSES$SYSTEMS_OWNED,UI,Systems Owned,Systems Owned
SYSTEMS$HYBRID,UI,Hybrid,Hybrid
VENDORS$VENDOR_REQUIRED,UI,Vendor is required,Vendor is required
VALIDATION$USER$CREDENTIALS_EXPIRATION_DATE$IN_PAST,UI,Validation failed for user credentials expiration date. Date in the past is not allowed here.,Validation failed for user credentials expiration date. Date in the past is not allowed here.
VALIDATION$USER$EXPIRATION_DATE$IN_PAST,UI,Validation failed for user account expiration date. Date in the past is not allowed here.,Validation failed for user account expiration date. Date in the past is not allowed here.
SYSTEMS$HYBRID,UI,Hybrid,Hybrid
POLICY_MANAGEMENT$OVERVIEW,UI,Overview,Overview
POLICY_MANAGEMENT$PURPOSE,UI,Purpose,Purpose
POLICY_MANAGEMENT$SCOPE,UI,Scope,Scope
POLICY_MANAGEMENT$ROLES_AND_RESPONSIBILITIES,UI,Roles and Responsibilities,Roles and Responsibilities
POLICY_MANAGEMENT$ENFORCEMENT,UI,Enforcement,Enforcement
POLICY_MANAGEMENT$EXCEPTIONS,UI,Exceptions,Exceptions
POLICY_MANAGEMENT$DEFINITIONS,UI,Definitions,Definitions
POLICY_MANAGEMENT$RELATED_POLICIES,UI,Related Policies,Related Policies
POLICY_MANAGEMENT$STATEMENTS,UI,Statements,Statements
POLICY_MANAGEMENT$CONTROL_MAP,UI,Control Map,Control Map
POLICY_MANAGEMENT$APPROVED_BY,UI,Approved By,Approved By
POLICY_MANAGEMENT$APPROVED_BY_REQUIRED,UI,Approved By is required,Approved By is required
GLOBALS$IMPORTED_BY,UI,Imported By,Imported By
GLOBALS$IMPORTED_ON,UI,Imported On,Imported On
POLICY_MANAGEMENT$RELATED_POLICY_REMOVE_CONFIRMATION,UI,There are Related Policies attached to the Master Policy. Are you sure you want to remove them?,There are Related Policies attached to the Master Policy. Are you sure you want to remove them?
