Function Code,Function Name,Function Description,Control Test Code,Control Test Name,Control Test Description,Guideline Code,Guideline Name,Guideline Description
9.3.1,Access Control,,9.3.1.12,Remote Access (AC-17),,9.3.1.12 (c),9.3.1.12 (c),The agency must Authorize and document the execution of privileged commands and access to security-relevant information via remote access for compelling operational needs only (CE4)
9.3.1,Access Control,,9.3.1.12,Remote Access (AC-17),,9.3.1.12 (d),9.3.1.12 (d),The information system must Monitor and control remote access methods (CE1)
9.3.1,Access Control,,9.3.1.12,Remote Access (AC-17),,9.3.1.12 (e),9.3.1.12 (e),The information system must Implement cryptographic mechanisms to protect the confidentiality and integrity of remote access sessions where FTI is transmitted over the remote connection and (CE2)
9.3.1,Access Control,,9.3.1.12,Remote Access (AC-17),,9.3.1.12 (f),9.3.1.12 (f),The information system must Route all remote accesses through a limited number of managed network access control points (CE3)
9.3.1,Access Control,,9.3.1.13,Wireless Access (AC-18),,9.3.1.13 (a),9.3.1.13 (a),"The agency must Establish usage restrictions, configuration/connection requirements, and implementation guidance for wireless access "
9.3.1,Access Control,,9.3.1.13,Wireless Access (AC-18),,9.3.1.13 (b),9.3.1.13 (b),The agency must Authorize wireless access to the information system prior to allowing such connections
9.3.1,Access Control,,9.3.1.13,Wireless Access (AC-18),,9.3.1.13 (c),9.3.1.13 (c),"The agency must Employ a wireless intrusion detection system to identify rogue wireless devices and to detect attack attempts and potential compromises/breaches to the information system (SI-4, CE14)"
9.3.1,Access Control,,9.3.1.13,Wireless Access (AC-18),,9.3.1.13 (d),9.3.1.13 (d),The information system must protect wireless access to the system using authentication and encryption. (CE1)
9.3.1,Access Control,,9.3.1.14,Access Control for Mobile Devices (AC-19),,9.3.1.14 (a),9.3.1.14 (a),"The agency must Establish usage restrictions, configuration requirements, connection requirements, and implementation guidance for agency-controlled mobile devices "
9.3.1,Access Control,,9.3.1.14,Access Control for Mobile Devices (AC-19),,9.3.1.14 (b),9.3.1.14 (b),The agency must Authorize the connection of mobile devices to agency information systems
9.3.1,Access Control,,9.3.1.14,Access Control for Mobile Devices (AC-19),,9.3.1.14 (c),9.3.1.14 (c),"The agency must Employ encryption to protect the confidentiality and integrity of information on mobile devices (e.g., smartphones and laptop computers) (CE5) "
9.3.1,Access Control,,9.3.1.14,Access Control for Mobile Devices (AC-19),,9.3.1.14 (d),9.3.1.14 (d),"The agency must Purge/wipe information from mobile devices based on 10 consecutive, unsuccessful device logon attempts (e.g., personal digital assistants, smartphones and tablets). Laptop computers are excluded from this requirement (AC-7, CE2)"
9.3.1,Access Control,,9.3.1.15,Use of External Information Systems (AC-20),,9.3.1.15 (a),9.3.1.15 (a),"Unless approved by the Office of Safeguards, the agency must prohibit Access to FTI from external information systems, other than through a virtual desktop infrastructure"
9.3.1,Access Control,,9.3.1.15,Use of External Information Systems (AC-20),,9.3.1.15 (b),9.3.1.15 (b),"Unless approved by the Office of Safeguards, the agency must prohibit Use of agency-controlled portable storage devices (e.g., flash drives, external hard drives) containing FTI on external information systems (CE2) "
9.3.1,Access Control,,9.3.1.15,Use of External Information Systems (AC-20),,9.3.1.15 (c),9.3.1.15 (c),"Unless approved by the Office of Safeguards, the agency must prohibit Use of non-agency-owned information systems; system components; or devices to process, store, or transmit FTI; any non-agency-owned information system usage requires the agency to notify the Office of Safeguards 45 days prior to implementation (CE3) "
9.3.1,Access Control,,9.3.1.15,Use of External Information Systems (AC-20),,9.3.1.15 (d),9.3.1.15 (d),"The agency may allow the use of personally-owned devices, without notification, only for the following purposes Bring Your Own Device (BYOD) used to access e-mail, where all requirements in Section 9.4.8 Mobile Devices are met"
9.3.1,Access Control,,9.3.1.15,Use of External Information Systems (AC-20),,9.3.1.15 (e),9.3.1.15 (e),"The agency may allow the use of personally-owned devices, without notification, only for the following purposes Remote access through a virtual desktop infrastructure (VDI) environment, where all requirements in Section 9.4.13 Virtual Desktop Infrastructure are met "
9.3.1,Access Control,,9.3.1.16,Information Sharing (AC-21),,9.3.1.16,9.3.1.16,The agency must restrict the sharing/re-disclosure of FTI to only those authorized in IRC 6103 and as approved by the Office of Safeguards.
9.3.1,Access Control,,9.3.1.17,Publicly Accessible Content (AC-22),,9.3.1.17 (a),9.3.1.17 (a),The agency must Designate individuals authorized to post information onto a publicly accessible information system
9.3.1,Access Control,,9.3.1.17,Publicly Accessible Content (AC-22),,9.3.1.17 (b),9.3.1.17 (b),The agency must Train authorized individuals to ensure that publicly accessible information does not contain FTI
9.3.1,Access Control,,9.3.1.17,Publicly Accessible Content (AC-22),,9.3.1.17 (c),9.3.1.17 (c),The agency must Review the proposed content of information prior to posting onto the publicly accessible information system to ensure that FTI is not included
9.3.1,Access Control,,9.3.1.17,Publicly Accessible Content (AC-22),,9.3.1.17 (d),9.3.1.17 (d),"The agency must Review the content on the publicly accessible information system for FTI, at a minimum, quarterly and remove such information, if discovered"
