Function Code,Function Name,Function Description,Control Test Code,Control Test Name,Control Test Description,Guideline Code,Guideline Name,Guideline Description
PR,Protect,,PR.AC,,,PR.AC-4,PR.AC-4,"Access permissions are managed, incorporating the principles of least privilege and separation of duties"
PR,Protect,,PR.AC,,,PR.AC-5,PR.AC-5,"Network integrity is protected, incorporating network segregation where appropriate"
PR,Protect,,PR.AT,Awareness and Training,"The organization’s personnel and partners are provided cybersecurity awareness education and are adequately trained to perform their information security-related duties and responsibilities consistent with related policies, procedures, and agreements.",PR.AT-1,PR.AT-1,All users are informed and trained 
PR,Protect,,PR.AT,,,PR.AT-2,PR.AT-2,Privileged users understand roles & responsibilities 
PR,Protect,,PR.AT,,,PR.AT-3,PR.AT-3,"Third-party stakeholders (e.g., suppliers, customers, partners) understand roles & responsibilities "
PR,Protect,,PR.AT,,,PR.AT-4,PR.AT-4,Senior executives understand roles & responsibilities 
PR,Protect,,PR.AT,,,PR.AT-5,PR.AT-5,Physical and information security personnel understand roles & responsibilities 
PR,Protect,,PR.DS,Data Security,"Information and records (data) are managed consistent with the organization’s risk strategy to protect the confidentiality, integrity, and availability of information.",PR.DS-1,PR.DS-1,Data-at-rest is protected
PR,Protect,,PR.DS,,,PR.DS-2,PR.DS-2,Data-in-transit is protected
PR,Protect,,PR.DS,,,PR.DS-3,PR.DS-3,"Assets are formally managed throughout removal, transfers, and disposition"
PR,Protect,,PR.DS,,,PR.DS-4,PR.DS-4,Adequate capacity to ensure availability is maintained
PR,Protect,,PR.DS,,,PR.DS-5,PR.DS-5,Protections against data leaks are implemented
PR,Protect,,PR.DS,,,PR.DS-6,PR.DS-6,"Integrity checking mechanisms are used to verify software, firmware, and information integrity"
PR,Protect,,PR.DS,,,PR.DS-7,PR.DS-7,The development and testing environment(s) are separate from the production environment
PR,Protect,,PR.IP,Information Protection Processes and Procedures,"Security policies (that address purpose, scope, roles, responsibilities, management commitment, and coordination among organizational entities), processes, and procedures are maintained and used to manage protection of information systems and assets.",PR.IP-1,PR.IP-1,A baseline configuration of information technology/industrial control systems is created and maintained
PR,Protect,,PR.IP,,,PR.IP-2,PR.IP-2,A System Development Life Cycle to manage systems is implemented
PR,Protect,,PR.IP,,,PR.IP-3,PR.IP-3,Configuration change control processes are in place
PR,Protect,,PR.IP,,,PR.IP-4,PR.IP-4,"Backups of information are conducted, maintained, and tested periodically"
PR,Protect,,PR.IP,,,PR.IP-5,PR.IP-5,Policy and regulations regarding the physical operating environment for organizational assets are met
PR,Protect,,PR.IP,,,PR.IP-6,PR.IP-6,Data is destroyed according to policy
PR,Protect,,PR.IP,,,PR.IP-7,PR.IP-7,Protection processes are continuously improved
PR,Protect,,PR.IP,,,PR.IP-8,PR.IP-8,Effectiveness of protection technologies is shared with appropriate parties
PR,Protect,,PR.IP,,,PR.IP-9,PR.IP-9,Response plans (Incident Response and Business Continuity) and recovery plans (Incident Recovery and Disaster Recovery) are in place and managed
PR,Protect,,PR.IP,,,PR.IP-10,PR.IP-10,Response and recovery plans are tested
PR,Protect,,PR.IP,,,PR.IP-11,PR.IP-11,"Cybersecurity is included in human resources practices (e.g., deprovisioning, personnel screening)"
PR,Protect,,PR.IP,,,PR.IP-12,PR.IP-12,A vulnerability management plan is developed and implemented
PR,Protect,,PR.MA,Maintenance,Maintenance and repairs of industrial control and information system components is performed consistent with policies and procedures.,PR.MA-1,PR.MA-1,"Maintenance and repair of organizational assets is performed and logged in a timely manner, with approved and controlled tools"
PR,Protect,,PR.MA,,,PR.MA-2,PR.MA-2,"Remote maintenance of organizational assets is approved, logged, and performed in a manner that prevents unauthorized access"
PR,Protect,,PR.PT,Protective Technology,"Technical security solutions are managed to ensure the security and resilience of systems and assets, consistent with related policies, procedures, and agreements.",PR.PT-1,PR.PT-1,"Audit/log records are determined, documented, implemented, and reviewed in accordance with policy"
PR,Protect,,PR.PT,,,PR.PT-2,PR.PT-2,"Audit/log records are determined, documented, implemented, and reviewed in accordance with policy"
PR,Protect,,PR.PT,,,PR.PT-3,PR.PT-3,"Access to systems and assets is controlled, incorporating the principle of least functionality"
PR,Protect,,PR.PT,,,PR.PT-4,PR.PT-4,Communications and control networks are protected
RC,Recover,800-184. Guide for Cybersecurity Event Recovery,RC.CO,Communications,"Restoration activities are coordinated with internal and external parties, such as coordinating centers, Internet Service Providers, owners of attacking systems, victims, other CSIRTs, and vendors.",RC.CO-1,RC.CO-1,Public relations are managed
RC,Recover,,RC.CO,,,RC.CO-2,RC.CO-2,Reputation after an event is repaired
RC,Recover,,RC.CO,,,RC.CO-3,RC.CO-3,Recovery activities are communicated to internal stakeholders and executive and management teams
RC,Recover,,RC.IM,Improvements,Recovery planning and processes are improved by incorporating lessons learned into future activities.,RC.IM-1,RC.IM-1,Recovery plans incorporate lessons learned
RC,Recover,,RC.IM,,,RC.IM-2,RC.IM-2,Recovery strategies are updated
RC,Recover,,RC.RP,Recovery Planning,Recovery processes and procedures are executed and maintained to ensure timely restoration of systems or assets affected by cybersecurity events.,RC.RP-1,RC.RP-1,Recovery plan is executed during or after an event
RS,Respond,800-34 Rev. 1. Contingency Planning Guide for Federal Information Systems,RS.AN,Analysis,Analysis is conducted to ensure adequate response and support recovery activities.,RS.AN-1,RS.AN-1,Notifications from detection systems are investigated 
RS,Respond,,RS.AN,,,RS.AN-2,RS.AN-2,The impact of the incident is understood
RS,Respond,,RS.AN,,,RS.AN-3,RS.AN-3,Forensics are performed
RS,Respond,,RS.AN,,,RS.AN-4,RS.AN-4,Incidents are categorized consistent with response plans
RS,Respond,,RS.CO,Communications,"Response activities are coordinated with internal and external stakeholders, as appropriate, to include external support from law enforcement agencies.",RS.CO-1,RS.CO-1,Personnel know their roles and order of operations when a response is needed
RS,Respond,,RS.CO,,,RS.CO-2,RS.CO-2,Events are reported consistent with established criteria
RS,Respond,,RS.CO,,,RS.CO-3,RS.CO-3,Information is shared consistent with response plans
RS,Respond,,RS.CO,,,RS.CO-4,RS.CO-4,Coordination with stakeholders occurs consistent with response plans
RS,Respond,,RS.CO,,,RS.CO-5,RS.CO-5,Voluntary information sharing occurs with external stakeholders to achieve broader cybersecurity situational awareness 
RS,Respond,,RS.IM,Improvements,Organizational response activities are improved by incorporating lessons learned from current and previous detection/response activities.,RS.IM-1,RS.IM-1,Response plans incorporate lessons learned
RS,Respond,,RS.IM,,,RS.IM-2,RS.IM-2,Response strategies are updated
RS,Respond,,RS.MI,Mitigation,"Activities are performed to prevent expansion of an event, mitigate its effects, and eradicate the incident.",RS.MI-1,RS.MI-1,Incidents are contained
RS,Respond,,RS.MI,,,RS.MI-2,RS.MI-2,Incidents are mitigated
RS,Respond,,RS.MI,,,RS.MI-3,RS.MI-3,Newly identified vulnerabilities are mitigated or documented as accepted risks
RS,Respond,,RS.RP,Response Planning,"Response processes and procedures are executed and maintained, to ensure timely response to detected cybersecurity events.",RS.RP-1,RS.RP-1,Response plan is executed during or after an event
