Constant,Scope,Value,Default Value
GLOBALS$DOCUMENT_COLON,UI,Документ:,Document:
GLOBALS$DOCUMENTS,UI,Документы,Documents
GLOBALS$DOCUMENTS_COLON,UI,Документы:,Documents:
GLOBALS$DOCUMENT_UPLOAD,UI,Загрузка документа,Document upload
GLOBALS$DOWNLOAD,UI,Скачать,Download
GLOBALS$DOWNLOAD_DATA,UI,Скачать данные,Download data
GLOBALS$DOWNLOAD_TEMPLATE,UI,Скачать шаблон,Download template
GLOBALS$DRILLDOWN,UI,Подробнее,Drilldown
GLOBALS$EDIT,UI,Редактировать,Edit
GLOBALS$END_DATE,UI,Дата окончания,End date
GLOBALS$ERROR,UI,Ошибка,Error
GLOBALS$INFOSEC_FOCAL_PERSON,UI,Контактное лицо по информационной безопасности,Infosec Focal Person
GLOBALS$LIST,UI,Список,List
GLOBALS$LOADING,UI,Загрузка...,Loading...
GLOBALS$LOG,UI,Журнал,Log
GLOBALS$NAME,UI,Название,Name
GLOBALS$NAME_REQUIRED,UI,'Название' обязательно,Name is required
GLOBALS$NO_CHANGES,UI,Нет изменений,No changes
GLOBALS$NO_DATA,UI,Нет данных,There is no data
GLOBALS$NO_QUESTIONS_FOUND,UI,Вопросов не найдено,No questions found
GLOBALS$NOTES,UI,Заметки,Notes
GLOBALS$NO_VALUE,UI,Нет значения,No value
GLOBALS$OWNER,UI,Владелец,Owner
GLOBALS$OWNER_REQUIRED,UI,'Владелец' обязателен,Owner is required
GLOBALS$PASSWORD,UI,Пароль,Password
GLOBALS$PASSWORD_INVALID,UI,Пароль должен содержать не менее 8 символов,Password must contain at least 8 symbol character
GLOBALS$PASSWORD_REQUIRED,UI,'Пароль' обязателен,Password is required
GLOBALS$PERCENTAGE,UI,Процент,Percentage
GLOBALS$PERCENTAGE_ERROR,UI,Значение должно быть в диапазоне от 0 до 100,Value must be between 0 and 100
GLOBALS$PERCENTAGE_REQUIRED,UI,'Процент' обязателен,Percentage is required
GLOBALS$QUESTIONS,UI,Вопросы,Questions
GLOBALS$RESET,UI,Сбросить,Reset
GLOBALS$SAVE,UI,Сохранить,Save
GLOBALS$SCHEME,UI,Схема,Scheme
GLOBALS$SEARCH,UI,Поиск,Search
GLOBALS$SEARCH_BY_NAME,UI,Поиск по 'названию',Search by name
GLOBALS$SETUP,UI,Установить,Setup
GLOBALS$START_DATE,UI,Дата начала,Start date
GLOBALS$STATUS,UI,Статус,Status
GLOBALS$STATUS_REQUIRED,UI,'Статус' обязателен,Status is required
GLOBALS$SUCCESSFUL_DATA_UPDATE,UI,Данные были успешно обновлены,Data was successfully updated
GLOBALS$SUCCESSFUL_FILE_UPLOAD,UI,Файл был успешно загружен,File was successfully upload
GLOBALS$SUCCESSFUL_ITEM_CREATE,UI,Объект был успешно создан,Item was successfully created
GLOBALS$TEMPLATE,UI,Шаблон,Template
GLOBALS$TOGGLE_MENU,UI,Переключить меню,Toggle menu
GLOBALS$TOTAL_COSTS,UI,Суммарные затраты,Total costs
GLOBALS$TOTAL_COSTS_COLON,UI,Суммарные затраты:,Total costs:
GLOBALS$UNDER_DEVELOPMENT,UI,Этот функционал находится в стадии разработки,This functionality is under development
GLOBALS$UNSAVED_DATA,UI,Несохраненные данные,Unsaved data
GLOBALS$UNSAVED_DATA_MESSAGE,UI,"У вас есть несохраненные данные на этой странице. Вы уверены, что хотите покинуть страницу? Все несохраненные данные будут потеряны!",You have unsaved data on this page. Are you sure you want to leave the page? All unsaved data will be lost!
GLOBALS$UPDATED,UI,Дата обновления,Updated
GLOBALS$UPDATED_BY,UI,Обновлено,Updated by
GLOBALS$UPLOAD,UI,Загрузить,Upload
GLOBALS$UPLOAD_CSV,UI,Загрузить CSV,Upload CSV
GLOBALS$VALUE,UI,Значение,Value
GLOBALS$VALUE_REQUIRED,UI,'Значение' обязательно,Value is required
GLOBALS$VERSION,UI,Версия,Version
HOME_PAGE$DESCRIPTION,UI,Управление кибер-рисками,Cyber Risk Management and Risk Engine
HOME_PAGE$TITLE,UI,Добро пожаловать в {0} !,Welcome to {0} !
IMPORT_AND_EXPORT$BUSINESS_UNITS,UI,Импорт/экспорт бизнес-единиц,Business units import/export
IMPORT_AND_EXPORT$CONTROL_GUIDELINES,UI,Импорт/экспорт контрольных директив,Control guidelines import/export
IMPORT_AND_EXPORT$DATA_IMPORT,UI,Импорт данных,Data import
IMPORT_AND_EXPORT$GDPR_ARTICLES,UI,Импорт/экспорт GDPR-статей,GDPR Articles import/export
IMPORT_AND_EXPORT$GDPR_EVIDENCE_ARTICLES,UI,Импорт/экспорт GDPR-свидетельств,GDPR Evidence articles import/export
IMPORT_AND_EXPORT$SCORING_QUESTIONS,UI,Импорт/экспорт оценочных вопросов,Scoring questions import/export
IMPORT_AND_EXPORT$SECURITY_FRAMEWORKS,UI,Импорт/экспорт систем безопасности,Security frameworks import/export
