Constant,Scope,Value,Default Value
CHANGE_PASSWORD$CONFIRM_PASSWORD_INVALID,UI,Passwords confirmation do not match with password,Passwords confirmation do not match with password
CHANGE_PASSWORD$CONFIRM_PASSWORD_REQUIRED,UI,Password confirmation is required,Password confirmation is required
CHANGE_PASSWORD$INVALID_TOKEN,UI,"The request token for this page is invalid. It may have already been used, or expired because it is too old.Please go back to the forgot password page and try again.","The request token for this page is invalid. It may have already been used, or expired because it is too old.Please go back to the forgot password page and try again."
CHANGE_PASSWORD$NEW_PASSWORD,UI,New password,New password
CHANGE_PASSWORD$NEW_PASSWORD_HELP_TEXT,UI,"Passwords must be at least 8 characters long and contain at least one lowercase letter, one uppercase letter, one numeric digit, and one special character","Passwords must be at least 8 characters long and contain at least one lowercase letter, one uppercase letter, one numeric digit, and one special character"
CHANGE_PASSWORD$NEW_PASSWORD_INVALID,UI,Invalid password,Invalid password
CHANGE_PASSWORD$OLD_PASSWORD,UI,Old password,Old password
CHANGE_PASSWORD$OLD_PASSWORD_REQUIRED,UI,Old password is required,Old password is required
CHANGE_PASSWORD$SUCCESS_MESSAGE,UI,Your password has been successfully changed,Your password has been successfully changed
CLOUD_SCORING$TITLE,UI,Cloud Scoring,Cloud Scoring
CONSTANTS$CONSTANT,UI,Constant,Constant
CONSTANTS$CREATE_CONSTANT,UI,Create constant,Create constant
CONSTANTS$EDIT_CONSTANT,UI,Edit constant,Edit constant
CONSTANTS$TITLE,UI,Constants,Constants
CONTROL_FUNCTIONS$CONTROL_FUNCTION,UI,Control Function,Control Function
CONTROL_FUNCTIONS$CONTROL_FUNCTION_REQUIRED,UI,Control Function Is Required,Control Function Is Required
CONTROL_FUNCTIONS$CREATE_FUNCTION,UI,Create Control Function,Create Control Function
CONTROL_FUNCTIONS$EDIT_FUNCTION,UI,Edit Control Function,Edit Control Function
CONTROL_FUNCTIONS$TITLE,UI,Control Functions,Control Functions
CONTROL_GUIDELINES$CONTROL_GUIDELINE,UI,Control Guideline,Control Guideline
CONTROL_GUIDELINES$CONTROL_GUIDELINE_REQUIRED,UI,Control Guideline Is Required,Control Guideline Is Required
CONTROL_GUIDELINES$CREATE_GUIDELINE,UI,Create Guideline,Create Guideline
CONTROL_GUIDELINES$EDIT_GUIDELINE,UI,Edit Guideline,Edit Guideline
CONTROL_GUIDELINES$GUIDELINE_CODE,UI,Guideline Code,Guideline Code
CONTROL_GUIDELINES$GUIDELINE_DESCRIPTION,UI,Guideline Description,Guideline Description
CONTROL_GUIDELINES$GUIDELINE_NAME,UI,Guideline Name,Guideline Name
CONTROL_GUIDELINES$TITLE,UI,Control Guidelines,Control Guidelines
CONTROL_MATURITIES$CONTROL_MATURITY,UI,Control Maturity,Control Maturity
CONTROL_MATURITIES$CONTROL_MATURITY_REQUIRED,UI,Control Maturity Is Required,Control Maturity Is Required
CONTROL_MATURITIES$CREATE_MATURITY,UI,Create Control Maturity,Create Control Maturity
CONTROL_MATURITIES$EDIT_MATURITY,UI,Edit Control Maturity,Edit Control Maturity
CONTROL_MATURITIES$TITLE,UI,Control Maturities,Control Maturities
CONTROL_MATURITIES$WEIGHT,UI,Weight,Weight
CONTROL_TESTS$CONTROL_TEST,UI,Control Test Name,Control Test Name
CONTROL_TESTS$CONTROL_TEST_REQUIRED,UI,Control Test Is Required,Control Test Is Required
CONTROL_TESTS$CREATE_TEST,UI,Create Control Test,Create Control Test
CONTROL_TESTS$EDIT_TEST,UI,Edit Control Test,Edit Control Test
CONTROL_TESTS$TITLE,UI,Control Tests,Control Tests
CYBER_RISK_SCORING$TITLE,UI,Inherent Cyber Risk Assessment,Inherent Cyber Risk Assessment
CYBER_ROLES$CREATE_ROLE,UI,Create Cyber Role,Create Cyber Role
CYBER_ROLES$CYBER_ROLE,UI,Cyber Role,Cyber Role
CYBER_ROLES$EDIT_ROLE,UI,Edit Cyber Role,Edit Cyber Role
CYBER_ROLES$TITLE,UI,Cyber Roles,Cyber Roles
CYBERSECURITY_MATURITY$TITLE,UI,Cybersecurity Maturity,Cybersecurity Maturity
DASHBOARD_COMPONENTS$BUTTON$DOWNLOAD$NAME,DASHBOARD,Download,Download
DASHBOARD$DATA_EXFILTRATION$NAME,DASHBOARD,Data Exfiltrations,Data Exfiltrations
DASHBOARDS$ADMIN$DESCRIPTION,DASHBOARD,Displays the exposures and scores by BU,Displays the exposures and scores by BU
DASHBOARDS$ADMIN$NAME,DASHBOARD,BU Exposures And Scores,BU Exposures And Scores
DASHBOARDS$ADMIN$SYSTEM_OWNER$BUSINESS_UNIT_HEADER,DASHBOARD,Business Unit,Business Unit
DASHBOARDS$ADMIN$SYSTEM_OWNER$CLOUD_HEADER,DASHBOARD,Cloud,Cloud
DASHBOARDS$ADMIN$SYSTEM_OWNER$IMPACT_HEADER,DASHBOARD,Impact,Impact
DASHBOARDS$ADMIN$SYSTEM_OWNER$ITEM_NAME,DASHBOARD,,
DASHBOARDS$ADMIN$SYSTEM_OWNER$LIKELIHOOD_HEADER,DASHBOARD,Likelihood,Likelihood
DASHBOARDS$ADMIN$SYSTEM_OWNER$ORGANIZATION_HEADER,DASHBOARD,Organization,Organization
DASHBOARDS$ADMIN$SYSTEM_OWNER$PERSON_HEADER,DASHBOARD,Person,Person
DASHBOARDS$ADMIN$SYSTEM_OWNER$SERVICE_VENDOR_HEADER,SERVER,Service Vendor,Service Vendor
DASHBOARDS$ADMIN$SYSTEM_OWNER$SYSTEM_DATA_EXFILTRATION_HEADER,DASHBOARD,System Data Exfiltration,System Data Exfiltration
DASHBOARDS$ADMIN$SYSTEM_OWNER$SYSTEM_VENDOR_HEADER,SERVER,System Vendor,System Vendor
DASHBOARDS$ADMIN$SYSTEM_OWNER$TECHNOLOGY_VENDOR_HEADER,SERVER,Technology Vendor,Technology Vendor
DASHBOARDS$ADMIN$SYSTEM_OWNER$VENDOR_HEADER,DASHBOARD,Vendor,Vendor
DASHBOARDS$ASSESSMENT$ASSESSMENTS_REQUIREMENTS$ASSESSMENT_NAME_HEADER,DASHBOARD,Assessment Name,Assessment Name
DASHBOARDS$ASSESSMENT$ASSESSMENTS_REQUIREMENTS$COMMENTS_HEADER,DASHBOARD,Comments,Comments
DASHBOARDS$ASSESSMENT$ASSESSMENTS_REQUIREMENTS$CONTROL_IMPL_STATUS_HEADER,DASHBOARD,Control Implementation Status,Control Implementation Status
DASHBOARDS$ASSESSMENT$ASSESSMENTS_REQUIREMENTS$CONTROL_ORIGINATION_HEADER,DASHBOARD,Control Origination,Control Origination
DASHBOARDS$ASSESSMENT$ASSESSMENTS_REQUIREMENTS$ITEM_DESCRIPTION,DASHBOARD,Assessments and Requirements Summary Scores,Assessments and Requirements Summary Scores
